Profile Name,Start Time,Duration,Title
Berkay,2023-06-12 11:27:04,00:25:21,The Good Place: Season 2: Existential Crisis (Episode 4)
Berkay,2023-06-12 11:18:10,00:08:47,The Good Place: Season 2: Team Cockroach (Episode 3)
Berkay,2023-06-12 06:52:38,00:02:42,The Good Place: Season 2: Team Cockroach (Episode 3)
Berkay,2023-06-12 06:38:03,00:09:18,The Good Place: Season 2: Team Cockroach (Episode 3)
Berkay,2023-06-11 17:25:20,00:16:57,The Good Place: Season 2: Team Cockroach (Episode 3)
Berkay,2023-06-11 16:59:47,00:22:49,The Good Place: Season 2: Dance Dance Resolution (Episode 2)
Berkay,2023-06-11 16:38:07,00:21:29,The Good Place: Season 2: Everything Is Great! (Episode 1)
Berkay,2023-06-11 15:42:40,00:20:24,The Good Place: Season 2: Everything Is Great! (Episode 1)
Berkay,2023-06-11 15:15:08,00:24:44,The Good Place: Season 1: Michael's Gambit (Episode 13)
Berkay,2023-06-11 14:51:57,00:22:35,The Good Place: Season 1: Mindy St. Claire (Episode 12)
Berkay,2023-06-11 14:27:32,00:23:13,The Good Place: Season 1: What's My Motivation (Episode 11)
Berkay,2023-06-11 14:19:24,00:08:03,The Good Place: Season 1: Chidi's Choice (Episode 10)
Berkay,2023-06-11 08:29:22,00:13:01,The Good Place: Season 1: Chidi's Choice (Episode 10)
Berkay,2023-06-10 23:58:24,00:07:03,The Good Place: Season 1: Chidi's Choice (Episode 10)
Berkay,2023-06-10 23:35:03,00:23:15,The Good Place: Season 1: ...Someone Like Me as a Member (Episode 9)
Berkay,2023-06-10 23:07:49,00:21:35,The Good Place: Season 1: Most Improved Player (Episode 8)
Berkay,2023-06-10 23:04:22,00:03:08,The Good Place: Season 1: The Eternal Shriek (Episode 7)
Berkay,2023-06-09 17:02:50,00:01:36,The Good Place: Season 1: The Eternal Shriek (Episode 7)
Berkay,2023-06-09 17:02:42,00:00:01,The Good Place: Season 1: What We Owe to Each Other (Episode 6)
Berkay,2023-06-09 17:02:28,00:00:05,The Good Place: Season 1: Most Improved Player (Episode 8)
Berkay,2023-06-07 23:16:13,00:08:34,The Good Place: Season 1: Most Improved Player (Episode 8)
Berkay,2023-06-07 22:52:51,00:20:04,The Good Place: Season 1: The Eternal Shriek (Episode 7)
Berkay,2023-06-06 19:07:52,00:11:54,The Good Place: Season 1: The Eternal Shriek (Episode 7)
Berkay,2023-06-06 15:09:52,00:00:01,The Good Place: Season 1: The Eternal Shriek (Episode 7)
Berkay,2023-06-06 14:54:30,00:15:17,The Good Place: Season 1: What We Owe to Each Other (Episode 6)
Berkay,2023-06-06 14:51:31,00:01:23,The Good Place: Season 1: Category 55 Emergency Doomsday Crisis (Episode 5)
Berkay,2023-06-06 14:49:24,00:01:07,The Good Place: Season 1: Jason Mendoza (Episode 4)
Berkay,2023-06-06 14:47:50,00:00:46,The Good Place: Season 1: Tahani Al-Jamil (Episode 3)
